冽	例側琍準凍咧荊紜洌列硎涮芸裂雲測凝倒惻次耘捌蜊前烈俐冶冷喇冰
刈	劃刖剎釗刊刑判利刪別刺制削剌剩劑列刎刨刷到刮剁則剖剛副劃
愧	魏塊匆蒐魔恬戍麼槐魅魁怕必瑰恤性魘魂魄傀幾餽醜鬼刃
線	終絡淺細繙絢錢絹絳踐繒絕紹糸縵殘絨結紗紛編綿腺繳總縲絃綵綬織賤紙綏綞絲箋
斃	屍鱉彆氅瞥弊幣死庇洌咧例夙仳昆屁紕能毗枇批沘妣
箠	錘捶唾綞睡陲垂郵箄卑箕痺笙笮笑箝裨脾婢埤啤俾
縫	終絡統綽絳蓬綾緲緞峯糸紐篷紗絨蜂紋紕締鋒縞絞繳級縲絃紡絆織逢綁絲縴
訟	誡試詩詼詰誌認談謂譜識訖詔詫詣詮誥誨誼諒請諉諂諍謀諜諾諳謨譏
闕	闋嶔閥厥崁羨嵌茨開閃門闊簌闢閨聞閘閔閏閑間閒閎悶閉問閂關閻閤
鐳	擂蕾雷電燸濡懦嚅儒蠕糯灞孺擾壩錨優鏢鎘錙釘需
琉	梳流硫疏毓堉璃斑琥玷玟璋璀璿瓖玨班瑁璨王
罌	嬰嚶瓔櫻纓罄缶遙榣搖萄鋇瑤鸚缽淘陶掏啕缺缸
樵	憔榫瞧礁椎蕉譙醮雜稚焦鐫錐進淮推惟堆唯隹崔
聲	罄磬馨聱聶聞茸疫芟毀殼弭股投聳爺燬穀殿般殷洱段
採	踩探捐揉揮榮掙搖援搏捆睬撚操綵採肘菜膝授彩
抒	妤杼序野舒予澦預豫多侈栘墅扭歿移夥矛爹舛扔挽投拎矜捻夕了茅
泖	柳鉚聊茆卯卿溜留榴遛瘤迎抑仰御劉貿籀唧啣腳孵餾昂節霤
答	言儉籥搭洽撿閤 哈蛤給拾簽臉檢八合塔恰筒鑰磊石
徙	往彷徒律徵徠很徊徇徉彿徬徘徹徜循彼得從徐徨行御微衍銜
喝	褐藹曷竭謁歇蠍揭靄吧噫噶唱羯暍惕碣渴邑錫愒遏葛
瀨	懶獺癩籟漱賴瀏嫩嗽喇速悚初淞辣沼汾束簌湘淋淅剌敕沐
厄	卮危呃扼己已氾妃杞配卷桅脆軛忌犯紀記跪範凹改詭
暹	進摧催遏隹璀曜僱懼雌匯藺籬遢錐離雜椎推惟淮堆唯濰攤灘罹焦集崔
累	騾細鏍繫摞漯紮糸嫘螺濰羅縲綑絮素索紫紊絲繁系喲
圍	偉葦違幃緯闈韓韋拿圄韌笨苯韜本缽吾困晤梧唔悟捂衛諱
奪	痔奮侍等雉時峙恃持集寺特對雞封待蕉舊崔符府傳詩椎進錐雄堆唯惟
徘	誹御徵徹行律菲彷匪罪悲非徐排靡俳輩徊徒屝彿微痱啡銜往霏街衍腓扉徙
妁	杓灼釣芍的約她豹酌勾勺怡喲民氏忘勻如均昀鈞婚女姦
蟠	蝌蜊蟲蟋潘播幡墦繙蝙蝗蛾蛛蛞蚱蟲螺蝶蝠蜂蛇蚣蛔蛐蕃審
翠	翌翼翟習羿瘁萃遢翁榻碎醉塌淬濯擢悴櫂曜蓊廖寥粹煽摺嘐膠誶嗡僇
彝	關糸繕縲縊縑緙絲絃縈紫絮紮累素系蘊練嫘綱嗉祥紲細紂
嘮	撈癆勞嶸啖榮熒塋肋咖犖噢燃喚叻瑩縈螢營筋勇另
阱	隘弔併拼姘迸胼隊鉼阡阻限陌耕陳陲並井屏阪防阿陂陣陡陝陴隅餅駢
幔	鏝饅帷慢幌幅縵幃漫帖帕幛幟幢帽鰻巾曼幡蔓
濟	霽涉齋儕擠涼薺沾臍漓注齊泣流滷劑淑汶沆滾汴涪滴躋
召	詔汾吩炤扮邵貂切刀韶紹沼岔昭枴券忿迢叨份照超拐初芬刃招
閥	閃閤門筏闕閑間閒閎悶問閂藺闊閡閨閩聞閘閔閏開閉欠闋闔關們伐
野	杼抒妤序舒澦予墅預豫裡黑墨多歿栘夥侈理狸浬娌埋哩裡俚鋰移喱嘿
挈	招券解潔尾刀牛娓拐扮召分箝屘拒初叨懈邂拳奉牢牟忿芬岔我失生毛
礴	搏博傅薄縛
稜	綾稷陵凌菱傻鉻後鈑鋒販板瀲反廈憂賂格秒穡穫皈返扳蔆各冬
停	婷偯亭信伉佔搞槁嚎壕濠鎬僕偷犒稿高嵩蒿豪篙
胖	滕勝賸畔拌姅伴謄騰半炙絆拳倦捲圈胱蜷踡判卷券眷
凜	懍稟冶凌凍迴冰冷準次凋馮凝啾冽臧勻稿諉醇壇擅澶檀逶翠茨
箔	泊湟泉白篁啪簿腺楷鉑揩偕柏迫拍怕伯笆皋皆皇帛皁凰線魄諧階粕舶
謂	請諍譎課諼談誼謠誌誡詰詼譯訟調諦謀諾諭諳諜諒諉諂論講謐認誥誨
秀	利香秋仍誘程秈禾穢禿繡秒番悸移透氖季莠乃委稻奶秩扔祕和私鏽孕
冑	胄由胃宙笛婁柚迪妯岫抽油袖鈾曳申喟渭賈軸裡釉裸
催	隹懼雌僱暹匯唯仙攤雉坐仕睢淮瞧堆癱濰惟椎雛璀錐攜崔灘推摧瞿進
山	鼓岫出尢扎技仙乙目疝巖己兀枝屯肢汕支已巳巴炭峭崔七崩兇匕札歧岐兒
拈	沾佔撲佔店帖玷砧站掠拉拄抖抆乩貼擠點搞攘
誼	組請訏咀訥謀誧詼許談且謂諍訟訃詁詮計詛試訊訂訐訕詰阻諼誚誡詫宜誌
厥	仄厲蕨佻劂橛厝鱖茁催獗鋼岡塑一逆闕兆屹崔三溯綱崗岑二蹶妍朔
妯	娉岫抽油柚迪袖鈾鼬由宙笛軸釉冑胄婁姊聘曳申
附	褥腐榭駙符奪陬險弔傅俯陡咐除傳陝陰隧滌侍府付陳
屈	絀窟出厄咄屁掘崛倔凹杞茁忌黜拙己尼已妃笨微氾屆祟
銀	退根恨垠艮痕眼限狠跟艱很齦腿褪堰偃良銲宴
特	待詩狩恃寺褥痔撙榭持牲牡符奪搏耨犢牛峙傳等犧樽遵對侍牠時封 
成	妒作戍戶笮蚱炸誠肩蝙茂乍城乃牟盛咋方祚昨戊戌怎柞
藻	度噪藩蔆燥範蒲菠茫譟躁蒞澡蕩葆莎操薄褓萍呆落
薰	燻醺蕉呈荏壬衽妊任窖造浩廷蕪燕蒸蘸聖望羔告皓飪
曳	拽洩由思抽油岫宙妯柚胄冑迪笛袖鈾申囤腮裡裸
內	俎訥俏月媼榷婿鈉侑傭陋胥塭溫佾盜憊肉俘跚慍炳病納丙吶柄確人俱
租	粗稱稻穩稠禾秋秈稍狙沮姐咀和私秤秣秧祕祖砠科俎阻稚稞且疽香番
極	杯槓本仁柢查吸梧桓及朽汲亟柯標枰級圾枉桿三丞拯柄
劃	剷副釗剌刷到刑劃刖列刊刈劂劍劊剽劑割剴剩剖剛剝剎剃削則刮制剁
琥	唬號璩虎琉璃瓚斑墟玷玨玟琨璋璿瓖班瑁珪遞璀褫侃璨沉現瑰珀瓏王
住	倍準蛀儕偵依企拄禽注維主佔仕僕堆位柱僮伉往駐推註仿偯
遑	煌湟惶隍徨蝗韹篁凰皇迫逛珀旺斑潤班腺嗥銓棉錦栓拴佺鉑柏玨泊拍
芙	夫扶伕鈇替羋羊趺失麩攆庠差輦窺菁佯洋咩烊羚推
謀	請詩諾議謙講諶某煤詼談諉謂諍譟詳諳語誼訟謊詮護課試媒詰謨誡譜譁諜誌
靈	霞霽霜零掃雩雨霎霪露霆霰霄櫺雲霹靂霓霑尋雪雯霏黴霖震霍
果	困顆彙木田捆棵稞睏巢夥課猓裸窠梱裹尊踝髁
針	鎔釣鉀金鍵十鉑鏈鎮錢鈉釦鈷鐵鈇釙鈾鉅鈿欽鉍銀汁鉗銨鈍銅鈔銬鉤什釘鈕錠
攸	脩倏修條絛鯈倣做傚傲嫩俟候收仲敕悠擻族矢
坍	丹冉玥臍彤堝再苒壺垃舟雨土圭壹坊址坎壞地圯圩坩坼帖肪垠垓珊舢
奩	嫗嘔嶇樞軀驅區闆操橾櫺痂品歐加架癖茄毆噪甌迦咖伽鷗
鯧	鰻鰭鰓鯽魯鯨鯖鯛鯉鮪鮭鰥鱔鱖娼唱倡鮫鮑魷鱷鰍晶
險	隄陪儉際隔僉陋洽弔籤撿閤阿瞼阮除陌驗哈簽附拾蛤陝陰臉鹼檢殮恰阻答
外	夕舛多名汐侈栘弘移夥爹矽飧銘歹丸凡令宛茗麥夤
憶	噫億臆憧意暗樟漳璋幛境獐障鏡黯瘴音諳蟑竭章
滅	減槭喊威鹹碳戌戚禦茂滲淙戊不禁祭票祟宗奈
原	仄迫鉑願鳳箔皋隙皁怕鳥習帛白騵柏三笆皇示二乒拍泊泉伯源旨珀
祇	祗紙衹底祆祚舐胝柢泜抵婚低祈牴砥氏昏氐祕祝社詆
蛞	蟲蛛蛄蛾蚱蛔蚌蚪颳活括恬蟠蝴蝌蟲蛙蛐聒蛀蚶蚵蛆蚯蚊虻蠅蜂蝗蝙
從	待御徠很徵徜行後徹律復德徬徇彷蹤役徐樅徉徊徒彿微得往徨衆縱叢徑徙
捅	甬通痛桶誦俑涌
薹	檯臺薔蒿蓋苒啁肚塑吉葫周碉桔拮藝髻菱菜善苔圭園黠壕嬉嘻遠僖結
咫	尺只呎保家谷促侶敖俗峪侃浴吩傢嫁裕僎稼褓興容堡僱葆肇熬聱贅鼇
淇	棋箕琪祺其期麒簸湛欺旗洪酒洋滇甚具芸堪俱戡漢淙港湮溢沅濃污濛
侈	傑夢夠令泠俑舞拎飧外麥名宛移哆舛矽酩茗夥鈴苓栘夕爹苑汐伶多銘
燭	濁鐲獨觸躅髑蜀歜繹驛曙澤擇釋鐸鉀柙胛狎押呷賣閘曼匣
兩	倆魎輛帷雨巾師佩篩霍匝吊珮佈雪雯獅漏際霄瘺霖霽
止	涉扯肯企址逃遣啃祉趾賦步焉芷怔恥歧歲武症歷正
吶	咻咿哨喻訥榷唯鈉傭呎吟噙咐嗆吃啣哈肉吐瘸叭炳唸納內吹丙柄確咀
訑	詢諜訐討訕訊託訏記計訣訥許訂訃註詁詛詐詳誅誚課誰諫
磬	罄聲馨磐磊碧巖疫芟毀殼股投穀燬殿設般殷段拓司
蹼	跤撲璞趴樸躪躑僕蹕踫蹲跚躇噗跌蹉蹣趺距踝足跟躋 
終	絡絳咚綾疼烙縲絃烽線繙絲逢綿編駱總縴級紙返縫糸鼕
嫂	搜叟瘦艘餿媳遝婚妊妖妒颼臼滔嬌潟鰥婢娥姓呶裒曼舀
墨	黑點勳焦鯉竈黠默理浬嘿黜壎埋壘畦黛俚羔量黷娌野黔鋰黝喱裡哩童
袂	決抉快缺訣鴃被筷裸兒川中衽袖陳初裡褚襟史忠樊
崴	威戌鹹喊減滅箴簪戊眸戚畏茂巖嶄猥峻辱竽竿耑岌牟卮兮炭底竺簑表
甜	謀嵌甘恬闊煤話舐刮括疳聒虛舔蛞蚶鉗活柑媒酣坩舌
罄	聲磬馨罌缶毀疫芟瑤殼陶股投萄燬罈穀遙榣骰殿搖缽淘掏啕缺般殷缸
撫	憮嫵蕪無撚摭掄拴拾拖推扶夫舞庶撿擒搶攆捨捻拎挫揪
銓	佺栓拴痊荃詮鑰全斑班鈐玨王鈴遑瑜煌潤隍湟惶鎗玲珍錐框筐谷
吒	託託宅叭咋呈印聽呼咱哦啤剩呱唾嗚鳴咯詫噢啾呂兄亳筍
振	賑湛辰捺農圬拓堪佞脤甚儂打抨辱扛脣巧宸蜃韭捂娠三戡濃晨噥污震
奄	笛岫刈希胄冑爻疝迪妯鈾柚庵油遷由菴袖醃淹鵪俺抽掩布宙
砟	詐咋磊硃斫碑唳石砂炸柞昨妒作砥砭砧砝破砠祚研砍蚱矽硝硯碓歌碼
徐	待御徠很行律復徇塗荼徉除從徊徒得途徨往餘徑斜敘
傢	嫁稼家佇儐倌佗什傷僱倥錠喧棕渲傳暄梡淙儉嬪濱檳臏值估仗做傲尺
糙	粒料粹造糊槌粕米瞇糖粗敉籽糕粉杭告謎糠鵠粳迷糟糝糢糧糉精浩糞
魘	壓饜靨厭蒐幾魄瑰魔魂槐愧塊傀鬼餽醜魅魁
存	薦字孝孚李孛季學子好囝仔孕孱刈籽猛屘蜢錳
唳	妒淚遍褊偏僱笮砟詐吠炸溴捩邀嗅戾咋牖昨柞
嗝	哥歌鬲隔融
諄	諒讓誶訃謎諳識淳惇醇諦詰譟詨註謫訪譴誼談請諉諂諍誌語認誡誤誥
咳	氦孩劾骸嘀擁賅唬垓趴雍亥嚎閡臃駭叭該壅吭嗚核咬喙亡嚷刻
岸	炭祟豈崖三二幹竺悍捍桿焊銲旱竿桿肝奸汗仁稈幹趕
佇	貯薴傢儐汽什佗丁行倌倥倚何叮打汀仃釘侵估盯仗軻例午士氨
伶	令零泠儉齡聆拎蛉羚吟玲儈倫鄰傖侮偷鈴苓領侈憐鈐冷岑嶺佺今
污	湛垮涯仁圬佞聘萼朽涇娉沅挎虧巧胯愕三兮濃二溼誇騁鍔跨
柳	泖鉚聊茆卯卿榴留溜遛瘤迎抑御仰劉貿籀唧啣腳孵餾昂節霤
混	焜棍錕琨餛崑媲鹿罷篦昆沘皆偕揩陛楷比湯階琵
貓	菌貍霾墾豺貂刀貊苗瞄簧描豹解貉懇邁芬錨襪屜
拼	耕井構拱姘並迸遘摒鉼措胼併媾描阱搆駢餅屏溝
睽	瞪揆葵闋癸嶝澄燈橙眨瞻瞄睛睬瞧磴瞼證蹬睢盯目瞿
戍	戊鬼幾蔑篾麼魂嘰機茂傀愧塊槐蒐璣磯餽戌成刃牟笞箋
撰	潠僎選巽巷拱圯損起鬨祀撕共巳戴糞捐撲烘洪抱供扣搴冀基異恭
鳶	鷹鴦鴛鳴鳩鴣鴨鵑鵝鵲鷓鷥鴆鴒鴿鵠鶴鷺鳥鴉鵡鵪鶉鷂鷗鸛
懾	攝囁躡聶鑷輒弭聾聞茸餌恥趣椰陬耳聱爺聰楫揖聒耿耶取聲聳
殲	懺讖籤纖殮殤殘殆殯列韭歹殖殉殊殃歿死洌咧例屍夙
她	地弛池他迆也牠妁訑馳拖迤忖快悚民氏忘柒如好妹施婚女姦
析	斬斧拆祈訢斫聽晰哲昕新淅浙斤沂掀圻所芹斯折近匠
帟	亦弈奕簾跡帝帛帑吊布幣啻帥匝巾鈽鬧席希蒂赤帖帕怖帷佈啼滿錦
杪	炒沙抄妙吵鈔眇砂傑紗梢秒少省劣莎林炸秋渺焚
乞	疙吃屹迄乙紇訖仔你函仍仙侯挖夜人伋侈俑健涵傑像
浮	孚淫渾淨子湲深荸脖孛悖悸溪滔渤遊厚俘學沉享
粗	租米祖沮姐咀粒粕組砠料敉籽粳俎狙阻且疽宜
爆	異焜暴拱爛普鯧縵煜供曝燜哄糞瀑鑤焊共煬緹烘魯鰻恭熾基洪
殉	例殆咧洵詢絢歿洌徇列殃殘殤夙殲筍殯歹殮殊殖屍死荀
越	趙趨堤卦趣踐趁起垓垃趟跆陡跋代伏徒壤赴琉赳超踱走伐跟堉趕壕進
杵	午枚椎許什榫榷榣缶林估仗栓樵來枝枓杜杖桿枯樸札梅榆槍漆膝檢檜
蒐	鬼槐愧塊傀幾瑰魄魔魘麼魂魏萸茱芹戍刃魁魅醜餽
琦	犄椅畸崎倚錡綺騎寄奇玨荷坷斑婀啊可柯河呵何班苛
悵	張倀脹帳萇賬長漲虐刁叼怩慨畏悽恍恨恆性忙偎愕喂煨佞伺懾愜表心
鄉	榔嚮響瑯廊饗螂參箋晉朗郎魏雍刻濺州劃川滋兜鬼幽慈巍麼
軌	轟軋軟車軒軏軻軸較軔軼輊輔輓輥輛軛軾輟輻輯輸輳輾輒
頒	頃頻頌煩須頤頓頊碩頂頡顆顏顯預頑項頗領頫頜頰頷頭頹穎額題願顛
勻	釣慷怡準凍杓妁惦慵勺鈞灼憾次筠昀芍勾贓怵冶凋茨均匍冰藏
市	匝簾帷吊央席啼肯怖希帖帕迪帛帝柿帥佈啻庸鈽鬧巾逮蒂止盅滿布
款	炊歌砍玖坎次欺欽畝欣吹燈飲欲歇軟歉歐歎歟歡疚示
嫉	疾癡嫩傚埃唉挨俟效矢族擻攸藪轍佑數畋枚知收傲嗷撇撤澈撒做遨倣
顯	願煩顥顆頻頤頡碩頓頌頊頃頂顫類題頰頭頜頑頒項須
篆	喙緣蠡豕豚逐豢豳墜危豬豭據噱璩遽邃隊系篛筏瘍互劇腸煬楊暘鍚陽
躲	身朵窮穀楓亢殿殼躺股殷射冗役投躬毀跺般麂軀肌咒段
豹	豺貊貍貂貓貉的釣灼杓妁霾酌約芍懇墾解忽射惚喲刀屜忿
蒸	拯煎蕉蕪燕薰丞淡茗莎葵菟庶鯊蘸荻薊蘇永葬蔗痰氮薴蘭茅苑蘚廿漾
尚	哨捎黨膛擋俏掌檔常嘗躺屑棠趟削悄當鐺鏜襠堂梢裳肖賞峭宵淌敝消倘噹炯
浹	挾峽俠狹陝莢夾愜頰洧汰淆涿汍淬灘洶渚淮淦俎泱沁決沐汨沖沃汶汕
羌	兒美姜羔恙允禿苒亮善對赤坤兕圳充義羨漾窯樣儀羲糕膳鎂羹曦
縣	鯀係孫遜蓀系糸懸絲細潔累索維繡絢絆絀組紲紗紋純紐納紆紀約紂祇
彊	晅薑會僵票仁鱖幅桓疆黃阮沅逼垣耘閂儡量疊竺彈殭三二喱強福韁弼彌
匹	屍層金叵四匝司匡匣穴尿淦鉛匠屆公尼忪屈居鬆沿屎屏屑展針釙釦鈿
砠	詛咀磊硼硯碉石研硝沮姐砰砧砝砟祖租砂砍粗蛆斫俎硬矽狙阻碘碌碓
曆	歷瀝壢香靂稈杳黎馨湯秩季查禾才穆種稞酥桿秣祕豺秒
鬱	遙榣搖缽缺謠瑤睥彪彬脂能杉佗萄疹覓麝缶膨跎棚淘掏彩彫啕衫珍彥
舞	苑茗侈舛多栘爹夥移宛無麥汐桀夕銘傑矽摯茅名舜令酩麩撫外
訝	訏呀評訶訐訌訂誣訣証詛詐託討訕訑計訃課語
暈	漣軸陣渾軏鏈運軌軍輝庫揮葷鰱轟褲輦攆載蓮軋連車軟暉輞琿軒
沏	切徹砌
扶	掄扣夫芙窺撲找撫拎扎捧扒鈇替佚拌膚輦攆拾規拖迭伕推失趺麩拳拴挫
己	倦厄呃扼改範杞凹桅記忌脆尼紀已卷妃屈圈危氾卮犯捲屆苑
葡	莆芍匍蒲芾甫芯補脯鋪浦捕埔圃哺荀苟薄荸怵
皆	媲混崑焜琵篦諧階篁比偕揩陛棍琨楷錕餛鹿罷
昀	均鈞筠勻的勾勺杓灼妁冰釣暍易曷芍旺明昕曬次凍準怡冶日曰昌旦晶
徨	隍惶湟煌遑蝗韹凰篁役皇得徐待行循很徇往復徬從徑德後徙徒徊律徉
璣	機嘰譏饑幾瑰玨斑班爍礫琉珪玲後鑠磯魂珀王茲
噯	曖璦愛硼朋受嚼授棚啁崩嚎綬喟娟捐涓胡咀胴舜骨
囁	懾攝躡聶鑷楫揖輒輯緝弭洱聞茸餌趣椰陬耳聾聱爺
譽	言與倦這警謄諂謎蜷讓券譬嶼歟訃卷計諄舉唁信訕誓誶詹諒眷
環	夢瓔篾囉班楞玀寰理玨壞斑澴薨甍蔑不鰥蘿籮遝鑼爵愣儸邏還
節	唧卿鯽即櫛昂茆迎抑仰廄鉚啣柳泖腳概溉慨孵聊御卹印叩卯
訴	訢詬詐託註詛話誅訐訕訏計諛訂訃評詞証詁訶詳誠詢詨訪訣訥許訌記
撩	捏嘹春暸捺潦捧措顯撚了奉僚鐐療拋挾剎寮繚燎遼掩瞭揍
祈	析昕近沂折圻聽斫所斬斯芹匠祆祚新斧祇訢掀斤
兢	克剋兄況侃鴣祝咕嗅競古宮兗鈷稅詁舐故枯牯胡姑沽估熄舔媳楛唬沉
橛	厥獗
珊	玥玨現琛王弄柵姍琿瑤璦班斑玷珀玟玫理玖琪頊瑣瑰瑾璞再皿冊盃盅
蝦	遐瑕煆暇假豭葭蟲蜓蜈霞蚓蠅蚊蟲螂蝴蝌蜘蜊蛔蛟蛀蛄蚪虻蜂蟬
睿	濬璿啻旁帝敵龍離獻真蒂籬同滇慎填啼鎮些三闐龐寵籠貞且膀膈榜瞋
閱	銳稅脫悅蛻兌說閭閉問閨聞閘闆閔閏開閑間閒閎悶閃閂門
凱	芟楓亢豈颯殿脰殼逗股殷譏冗巖覬投設躲跺般毆皚吭珮幾愷肌凳咒段飢剴
紹	絕炤紛結紉絡絹迢昭沼招縲絲緝紀糸絃絨給貂超綏綵韶線繙纜細紗
轎	輳矯犒輾軼稿輜輪輸嬌鎬輔較轟轅軛轄輻轉搞縞僑喬輯車槁驕轍軾橋 
瀆	櫝犢續贖黷牘讀竇賣濤澆澤澴濁漫溘涅演法甲
劣	另男脅勇省力肋叻努勢茄痂荔劫助伽幼劾協咖勉迦動勳
楨	偵幀禎貞相貝鋇樸榜槓員賄貼敗校狽財柿柱盼枕枓楣損賊貽賤遺則櫃
麓	鑣鏖塵麋麂麝麒麗麟鹿毗焚梵婪庇儷灑邐欐曬枇比
廟	韓瀚斬麻笛斡乾肺庫戎霸朝廾嘲甫迪柚潮油戟由脯嶄袖幹蝴榦慚抽漸郵
集	隹焦售隻雙奪椎雋崔進淮推惟堆唯錐榫樵侍仕
舌	咕牯古恬居闊甜亂話估舐刮括鈷聒舔仟千姑蛞苦管枯箇颳活固沽胡
鬼	魏塊匆蒐戍麼槐魍愧魅魁機瑰魑魂嘰魄仞傀笞幾魎刃箋
石	磊泵司矽拓巖砂研砍砧砝砠砟硝硼碓歌後言洞洽斫拾恫恰峒哈砰砷砸
鈸	拔跋紱髮突公犬鋪錢爻畎吠伏鐮鍍鬆忪鈿猷鈞鈑鉸釵釦釣釩針釙餚鎂
殺	殿段股投殷殼般毀骰役穀疫設毅毆芟弒沒澱臀
陂	被彼波披坡玻破鈹跛皴疲詖皺阪皮陳降菠皰陵
淨	掙崢錚猙睜靜箏諍爭深浮淫滔沉渾湲溪滑洞渦沮
員	鋇貸貝側貫隕賃貴贊賈賀廁貨資費測惻責貲嘖損賞貢圓濺買狽贅
哪	邵郃梆邦耶嘟鄙嗎弔躑擲瑯啊椰那郾郡爺部榔槨琊郢綁螂挪廊邶叩娜
匙	題化仳比昆此北能毗枇妣批沘是屁庇死牝叱紕花皁
輸	軻喻軏瘉輪軌蝓逾褕諭渝轟瑜軛轄輻愈偷軋車愉軟軾榆俞軒
蔽	捎哨幣鱉撤俏敵氅銷屑霰澈敞散弊撇鞘悄廠瞥憋藪撒梢峭彆宵敝逍消
羯	揭暍褐竭碣遏渴愒喝葛謁曷羋羊噶羚羶歇羞差
籣	蘭爛欄瀾攔斕闌簡柬嫻閑鍊煉楝揀閉藺燜練澗僩捫們
堂	嫦黨膛擋螳掌檔常嘗棠敞削瞠當鐺鏜襠儻裳肖賞尚敝淌倘噹炯
織	統細綽紜纏絢絹繒糸縵線絨縉結紋幟締職絞縞識縲絃只紡綵紂緹枳綏絲熾縴
翮	翔翅栩翱翩翹翻翎扇翡羽翳融褶遢榻塌嗡翟翕翌習翁羿
軟	轟軌軋輓車軻軸軼軏軒軔較輊輔輛輥軛軾輪輻輯輸輾輒
凋	惆冽凜調準裯凍雕稠碉勻馮鯛鵰週次臧蜩啁冶冷綢冰凌周
圻	聽折沂昕析近所斫祈斬斯匠芹新斧訢掀斤坼欣垢浙淅逝晰
翼	櫂瀚羿煽擢塌褶翁翌翠翟習蓊嗡曜遢濯摺冀翰榻
闖	馭騖閒駁闊駕馱瑪馮媽馳門驚駑螞罵馬駟駒篤駛駢悶駐聞閉碼閃
薊	前莉荊鮪鮭鯉鯧鰓痢廁魚鮫鮑鯽魷鯖鯛鯨鰍鰭鰥鰻鱗鱷
愴	傖搶滄嗆槍鎗蒼瘡艙倉悔恰愎愉飧創食飾飭餘伶懺
琿	暉運渾揮輝轟暈葷瑤琛玥軍褲璦攆漣鏈蓮珊玨車
瞭	睹眼眇睢盹盼盯燎暸遼潦撩嘹僚目療寮瞋睡睫睞睥睨眠瞧繚瞄睦睬瞇
異	糞戴共烘洪拱哄供巽鬨冀基恭寒塞搴寨暴港龔溢鎰
跡	蠻跦跤踐巒跼趴跆跑奕跋跛蹕趾變踫跚踞跺踵跌跪躂亦蹄距趺踝足跟戀躋蹼弈
雕	礁調準裯譙帷稠碉難離碓唯雄鵰維雉雒睢淮瞧堆誰稚惟椎彫錐凋雊推雞雜瞿綢雖周進
矇	朦檬濛瞞瞄蒙睬算瞼瞧睛睜睢盯目瞿瞻瞳瞪瞬瞠瞟瞌瞑瞎睽睦矚眸眩
謹	誦請訏諾謀謙諛勤諶誧諫話詳瑾誣誰誠訃計謫詛課訂堇訐訌僅訕誚謨譜譁
桓	晅垣宣渣喳查極洹旦桿渲喧暄檀萱耘梧梔楊標杯枉桿槓百本奭
笑	夭沃妖奏笮忝吞添舔笙箄僑嬌橋矯契箠喬卑勿湊揍轎驕
新	薪析近斯昕折沂圻聽芹斬斫祈所匠訢斧晰掀淅斤
晝	書畫坦疸查袒旦堤怛但暨靼量瘍三昊旱在桿焊晅捍悍湯陽隄暘垣旺
懣	滿席愚英蓆瀟瞞漢巾蹣患恙恭忠芯吊布蒂灘滯瑛怖匝
狸	裏貍狎猥狠理浬猶埋童暑狄狗俚狙娌猓犯鋰獨狂裡哩著
鏤	褸樓摟嘍簍屢髏螻縷鈾屨婁鉀申坤呻伸鏽神砷
蹬	嶝橙磴躁跆躪證蹂躊跺踴澄踱凳跪蹉蹶瞪蹣燈足登 
廷	呈蜓任霆衽涎梃又建挺庭飪延筵妊薰造壬燻浩艇
愕	鍔萼胯垮誇跨憚儼鄂巖釅雩嚴顎囂彈嬋污圬襄誇
鷹	鳶鶴鸛鳴鴦鴛鷓鵲鵑鵠鵝鴿鴣鴨鳩鷺鷥鷗鷂鶉鵪鴒鴆鴉
蔚	尉熨慰廚符府褽駙撙遵樽紂冠屎奪等痔團寸褥樹榭傳特時狩持恃峙附
睪	澤擇鐸圉繹釋悻倖譯驛幸署甲蜀報鉀鴨胛柙押呷匣
站	倍貼點店竭意焙沾垃泣佔帖乩拈培拉立粒章位砧玷黏藷笠音儲涪妾靖童
飽	抱刨餞飭饅飴餃餚餉苞飯泡饑炮饉館跑餌飲咆餵包飪饒袍蝕餓飼餡庖餿餅餽飾餒餘餛飢飩 
膝	漆採黍採黏肘菜膊睬椎枚杵榮踩滕綵樵榫腺栓榷林朋來月槳愛森受
唔	悟捂晤梧語圄鼯齬吾伍籲五品韋唁咯哈敔偉喱呃伺詰路違遣噎噤噪嚅
髁	骷髏髑骸骯髓骼骰體裸棵髒髖踝稞猓骨課滑果裹窠彙巢
輟	輳輾輜綴輪軌輸轔轎輓轟轅軛轄輻轉軋輯桑車掇軟轍軾啜
保	侃呆褓葆噪谷堡棠俗傑澡橾燥休吋佑喳僎操躁促侶咻褒
歎	難艱漢嘆歇歉欽欲欣炊坎吹灘攤癱歌欺飲軟畝砍歡玖次葵疚
數	政樓啟疾敵改玫擻僂矢敬敞散敖矣畋摟婁故縷牧褸藪收敕敢敝敉攻枚蔞赦
蒜	蔡齋崇綜糉漂嫖膘標瞟棕淙捺鏢察賒際噤縹襟驃鰾
維	組約準細絀絢純繪繡糸紐紗結紋堆濰紀糾給羅縲紆絆紂絰綸納推紇絲紲住
儈	檜燴膾繪佺儉偷倫會傖侮傷伶僵偭僧僭仁佰劊覃
碰	踫碘磊並磋磺普研磁磴石碑碓碩硝歌硃確砰砷砧砝砠砟砲砍砂斫矽硿
昧	沬妹味未魅早晏宋朱卓杲草暑守明株侏銖暄日曰昌茱晶寐
趾	跡扯跳跦企跤踐跼址趴跆跑啃跋祉蹕踫跚踞跌芷躂止蹄恥趺距踝足跟躋蹼
